COUNTRY,Cen_X,Cen_Y,color
Slovenia,1650712.708,5800671.724,#E000FF
Solomon Islands,17771008.79,-997461.397,#E600FF
Somalia,5310798.134,-61547.724,#EC00FF
South Africa,2787306.865,-3391584.23,#F200FF
South Georgia and South Sandwich Islands,-4045746.679,-7267702.372,#F800FF
South Korea,14230726.67,4355447.873,#FF00FF
South Sudan,3375003.099,813722.6465,#FF00F8
Spain,-238426.807,4650143.899,#FF00F2
Sri Lanka,8992059.713,727369.024,#FF00EC
Sudan,3397803.289,795789.025,#FF00E6
Suriname,-5966881.732,-292690.571,#FF00E0
Svalbard,2060214.707,14902683.64,#FF00DA
Sweden,1961288.862,9033833.387,#FF00D4
Switzerland,916779.5941,5910732.681,#FF00CE
Syria,4300645.189,4242308.967,#FF00C8
Tajikistan,7907613.278,4656546.764,#FF00C2
Tanzania,3514165.105,-786192.069,#FF00BC
Thailand,11232986.72,2110236.595,#FF00B6
Timor-Leste,14009926,-986106.832,#FF00B0
Togo,-25986.997,227529.731,#FF00AA
Tokelau,-19134982.72,-739362.287,#FF00A3
Tonga,-19507411.27,-2458258.985,#FF009D
Trinidad and Tobago,-7082040.624,-356587.473,#FF0097
Tunisia,1071193.233,3915872.16,#FF0091
Turkey,3880495.622,5962556.439,#FF008B
Turkmenistan,6495734.653,4760642.515,#FF0085
Turks and Caicos Islands,-8164702.04,2951391.386,#FF007F
Tuvalu,19877180.91,-874502.872,#FF0079
Uganda,3815753.564,162024.102,#FF0073
Ukraine,3481086.715,6298546.414,#FF006D
United Arab Emirates,6512874.609,3318568.015,#FF0067
United Kingdom,-253884.598,7551601.479,#FF0061
United States,-13275780.37,6656684.584,#FF005B
United States Minor Outlying Islands,-592976.6418,1875854.1,#FF0055
Uruguay,-6234884.867,-3871658.877,#FF004E
US Virgin Islands,-7758715.319,3263787.844,#FF0048
Virgin Islands (U.S.),-7758715.319,3263787.844,#FF0048
Uzbekistan,7022862.531,5135215.91,#FF0042
Vanuatu,18692724.3,-1778390.036,#FF003C
Vatican City,1386078.495,5146608.154,#FF0036
Venezuela,-7600025.886,354746.065,#FF0030
Vietnam,12034669.61,2512303.006,#FF002A
Wallis and Futuna,-19720568.84,-1550024.504,#FF0024
Yemen,5315237.343,1391352.524,#FF001E
Zambia,3092616.332,-1515271.031,#FF0018
Zimbabwe,3325354.516,-2157682.252,#FF0012
China,11564448.17,3852078.821,#FF000C
Taiwan,11652343.68,5674550.943,#FF0006
